,,,,,,MSDTS:X MSTR<CR>,,,,,
,,,,,,MSDTS EXPRESS<CR>,,,,,
,,,,,,MSDTS ES 8CH DSCRT<CR>,,,,,
,,,MCH STEREO,,MSMCH STEREO<CR>,MSMCH STEREO<CR>,,,,,
,,,ROCK ARENA,,MSROCK ARENA<CR>,<-,,,,,
,,,JAZZ CLUB,,MSJAZZ CLUB<CR>,<-,,,,,
,,,MONO MOVIE,,MSMONO MOVIE<CR>,<-,,,,,
,,,MATRIX,,MSMATRIX<CR>,<-,,,,,
,,,VIDEO GAME,,MSVIDEO GAME<CR>,<-,,,,,
,,,VIRTUAL,,MSVIRTUAL<CR>,<-,,,,,
,,,LEFT,,MSLEFT<CR>,MSSTEREO<CR>,,,,,
,,,RIGHT,,MSRIGHT<CR>,MSSTEREO<CR>,,,,,
,,,-,"during ""All Zone Stereo"" mode",-,MSALL ZONE STEREO<CR>,,,,,
,,,?,Return MS Status,MS?<CR>,,,,,,
,,,QUICK1,QUICK SELECT 1-5 MODE SELECT,MSQUICK1<CR>,<-,,,,,
,,,QUICK2,,MSQUICK2<CR>,<-,,,,,
,,,QUICK3,,MSQUICK3<CR>,<-,,,,,
,,,QUICK4,,MSQUICK4<CR>,<-,,,,,
,,,QUICK5,,MSQUICK5<CR>,<-,,,,,
,,,-,,-,MSQUICK0<CR>,,,,,
,,,QUICK1 MEMORY　,QUICK SELECT 1-5 MODE MEMORY,MSQUICK1 MEMORY<CR>,<-,,,,,
,,,QUICK2 MEMORY,,MSQUICK2 MEMORY<CR>,<-,,,,,
,,,QUICK3 MEMORY,,MSQUICK3 MEMORY<CR>,<-,,,,,
,,,QUCIK4 MEMORY,,MSQUICK4 MEMORY<CR>,<-,,,,,
,,,QUICK5 MEMORY,,MSQUICK5 MEMORY<CR>,<-,,,,,
,,,QUICK ?,Return MSQUICK Status,MSQUICK ?<CR>,,,,,,
,,,AUDIO AMP,Set HDMI AUDIO Output to AMP ,VSAUDIO AMP<CR>,<-,,,,,
,,,AUDIO TV,Set HDMI AUDIO Output to TV,VSAUDIO TV<CR>,<-,,,,,
,,,AUDIO ?,Return VSAUDIO Status,VSAUDIO ?<CR>,,,,,,
,,PS,TONE CTRL ON,PARAMETER setting,PSTONE CTRL ON<CR>,<-,,,,,
,,,TONE CTRL OFF,TONE CONTROL ON/OFF,PSTONE CTRL OFF<CR>,<-,,,,,
,,,TONE CTRL ?,Return PSTONE CONTROL Status,PSTONE CTRL ?<CR>,,,,,,
,,,BAS UP,"BASS UP/DOWN , direct change to **dB",PSBAS UP<CR>,PSBAS 50<CR>,,,,,
,,,BAS DOWN,"**:00 to 99 by ASCII , 50=0dB",PSBAS DOWN<CR>,PSBAS 50<CR>,,,,,
,,,BAS **,---AVR can be operated from -6 to +6(44 to 56),PSBAS 50<CR>,<-,,,,,
,,,BAS ?,Return PSBAS Status,PSBAS ?<CR>,,,,,,
,,,TRE UP,"TREBLE UP/DOWN , direct change to **dB",PSTRE UP<CR>,PSTRE 50<CR>,,,,,
,,,TRE DOWN,"**:00 to 99 by ASCII , 50=0dB ",PSTRE DOWN<CR> ,PSTRE 50<CR>,,,,,
,,,TRE **,---AVR can be operated from -6 to +6(44 to 56),PSTRE 50<CR>,<-,,,,,
,,,TRE ?,Return PSTRE Status,PSTRE ?<CR>,,,,,,
,,,DIL ON,Dialog Level Adjust = ON,PSDIL ON<CR>,<-,,,,,
,,,DIL OFF,Dialog Level Adjust = OFF,PSDIL OFF<CR>,<-,,,,,
,,,DIL UP,,PSDIL UP<CR>,PSDIL 50<CR>,,,,,
,,,DIL DOWN,---Dialog Level　Adjust,PSDIL DOWN<CR>,PSDIL 50<CR>,,,,,
,,,DIL **,"**:38 to 62 by ASCII , 50=0dB",PSDIL 50<CR>,<-,,,,,
,,,DIL ?,Return DIL Status,PSDIL ?<CR>,"PSDIL?<CR>
PSDIL ON<CR>
PSDIL 50<CR>",,,,,
,,,SWL ON,Subwoofer Level Adjust = ON,PSSWL ON<CR>,<-,,,,,
,,,SWL OFF,Subwoofer Level Adjust = OFF,PSSWL OFF<CR>,<-,,,,,
,,,SWL UP,,PSSWL UP<CR>,PSSWL 50<CR>,,,,,
,,,SWL DOWN,---SUBWOOFER(1)　Level　Adjust,PSSWL DOWN<CR>,PSSWL 50<CR>,,,,,
,,,SWL **,"**:00,38 to 62 by ASCII , 50=0dB",PSSWL 50<CR>,<-,,,,,
,,,SWL ?,Return SWL Status,PSSWL ?<CR>,"PSSWL ?<CR>
PSSWL ON<CR>
PSSWL 50<CR>
PSSWL2 50<CR>
※If SW2 is none,""PSSWL2"" command is not output.",,,,,
,,,CINEMA EQ.ON,CINEMA EQ. ON/OFF,PSCINEMA EQ.ON<CR>,<-,,,,,
,,,CINEMA EQ.OFF,,PSCINEMA EQ.OFF<CR>,<-,,,,,
,,,CINEMA EQ. ?,Return PSCINEMA EQ.Status,PSCINEMA EQ. ?<CR>,,,,,,
,,,PSLOM ON,Loudness Management: ON,PSLOM ON<CR>,<-,,,,,
,,,PSLOM OFF,Loudness Management: OFF,PSLOM OFF<CR>,<-,,,,,
,,,PSLOM ?,Return PSLOM Status,PSLOM ?<CR>,,,,,,
,,,MULTEQ:AUDYSSEY,MultEQ/MultEQ XT/MultEQ XT32 mode direct change,PSMULTEQ:AUDYSSEY<CR>,<-,,,,,
,,,MULTEQ:BYP.LR,AUDYSSEY= Reference,PSMULTEQ:BYP.LR<CR>,<-,,,,,
,,,MULTEQ:FLAT,BYP.LR= L/R Bypass,PSMULTEQ:FLAT<CR>,<-,,,,,
,,,MULTEQ:OFF,,PSMULTEQ:OFF<CR>,<-,,,,,
,,,MULTEQ ?,Return PSMULTEQ: Status,PSMULTEQ: ?<CR>,,,,,,
,,,DYNEQ ON,Dynamic EQ = ON,PSDYNEQ ON<CR>,<-,,,,,
,,,DYNEQ OFF,Dynamic EQ = OFF,PSDYNEQ OFF<CR>,<-,,,,,
,,,DYNEQ ?,Return PSDYNEQ Status,PSDYNEQ ?<CR>,,,,,,
,,,REFLEV 0,Reference Level Offset=0dB,PSREFLEV 0<CR>,<-,,,,,
,,,REFLEV 5,Reference Level Offset=5dB,PSREFLEV 5<CR>,<-,,,,,
,,,REFLEV 10,Reference Level Offset=10dB,PSREFLEV 10<CR>,<-,,,,,
,,,REFLEV 15,Reference Level Offset=15dB,PSREFLEV 15<CR>,<-,,,,,
,,,REFREV ?,Return PSREFLEV Status,PSREFLEV ?<CR>,,,,,,
,,,DYNVOL HEV,Dynamic Volume = Heavy,PSDYNVOL HEV<CR>,<-,,,,,
,,,DYNVOL MED,Dynamic Volume = Medium,PSDYNVOL MED<CR>,<-,,,,,
,,,DYNVOL LIT,Dynamic Volume = Light,PSDYNVOL LIT<CR>,<-,,,,,
,,,DYNVOL OFF,Dynamic Volume = OFF,PSDYNVOL OFF<CR>,<-,,,,,
,,,DYNVOL ?,Return PSDYNVOL Status,PSDYNVOL ?<CR>,,,,,,
,,,GEQ ON,Graphic EQ = ON,PSGEQ ON<CR>,<-,,,,,
,,,GEQ OFF,Graphic EQ = OFF,PSGEQ OFF<CR>,<-,,,,,
,,,GEQ ?,Return Graphic EQ Status,PSGEQ ?<CR>,,,,,,
,,,HEQ ON,Headphone EQ = ON,PSHEQ ON<CR>,<-,,,,,
,,,HEQ OFF,Headphone EQ = OFF,PSHEQ OFF<CR>,<-,,,,,
